month,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing and household services,Furniture and household goods,Transport,Recreation and culture,Restaurants and hotels,Other goods and services,CPIH 12-month inflation rate
Aug-21,0.05,0.09,0.06,0.65,0.19,0.87,0.28,0.65,0.19,3
Sep-21,0.08,0.1,0.04,0.69,0.23,0.91,0.31,0.34,0.22,2.9
Oct-21,0.12,0.07,0.01,1.23,0.28,1.08,0.29,0.43,0.31,3.8
Nov-21,0.23,0.17,0.22,1.28,0.31,1.34,0.38,0.34,0.31,4.6
Dec-21,0.37,0.14,0.26,1.31,0.37,1.29,0.34,0.41,0.34,4.8
Jan-22,0.39,0.12,0.41,1.37,0.41,1.24,0.32,0.31,0.33,4.9
Feb-22,0.46,0.13,0.54,1.39,0.48,1.26,0.51,0.36,0.35,5.5
Mar-22,0.53,0.18,0.57,1.49,0.57,1.47,0.55,0.53,0.34,6.2
Apr-22,0.61,0.17,0.48,2.76,0.57,1.47,0.64,0.64,0.44,7.8
May-22,0.78,0.19,0.4,2.79,0.6,1.5,0.54,0.64,0.44,7.9
Jun-22,0.89,0.18,0.35,2.82,0.59,1.64,0.52,0.73,0.46,8.2
Jul-22,1.15,0.2,0.39,2.91,0.56,1.66,0.6,0.78,0.52,8.8
Aug-22,1.2,0.21,0.43,2.9,0.58,1.36,0.57,0.79,0.58,8.6
Sep-22,1.33,0.21,0.46,2.94,0.63,1.2,0.56,0.87,0.61,8.8
Oct-22,1.48,0.23,0.45,3.68,0.63,1.02,0.62,0.88,0.6,9.6
Nov-22,1.51,0.17,0.39,3.68,0.65,0.84,0.56,0.93,0.61,9.3
Dec-22,1.56,0.15,0.32,3.67,0.62,0.77,0.51,1.03,0.61,9.2
Jan-23,1.56,0.19,0.3,3.7,0.59,0.35,0.53,0.95,0.68,8.8
Feb-23,1.68,0.21,0.4,3.68,0.55,0.33,0.44,1.11,0.76,9.2
Mar-23,1.76,0.2,0.36,3.6,0.5,0.1,0.51,1.08,0.76,8.9
Apr-23,1.74,0.32,0.33,2.29,0.46,0.18,0.69,0.99,0.84,7.8
May-23,1.68,0.33,0.35,2.28,0.46,0.14,0.75,1.02,0.88,7.9
Jun-23,1.6,0.32,0.36,2.27,0.4,-0.2,0.74,0.96,0.86,7.3
Jul-23,1.39,0.33,0.32,1.71,0.38,-0.25,0.74,0.99,0.78,6.4
Aug-23,1.28,0.37,0.34,1.77,0.31,-0.08,0.67,0.88,0.76,6.3